Title,Author,Publisher,"No. of collected volumes",Serialized
Shonen Shojo Nippon no Rekishi [ja],"Kota Kodama, Arakawa Shoji",Shogakukan,24,1981–2018
750 Rider,Isami Ishii,Akita Shoten,50,1975–1985
Buddha,Osamu Tezuka,Ushio Shuppan,14,1972–1983
Cat's Eye,Tsukasa Hojo,Shueisha,18,1981–1984
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,37,2002–2009
Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",Shueisha,36,2012–2019
Fushigi Yûgi,Yuu Watase,Shogakukan,18,1991–1996
Haruhi Suzumiya,"Makoto Mizuno, Gaku Tsugano, Puyo, Eretto",Kadokawa Shoten,57,2004–2018
Hayate the Combat Butler,Kenjiro Hata,Shogakukan,52,2004–2017
Kimagure Orange Road,Izumi Matsumoto,Shueisha,18,1984–1987
Tasogare Ryuuseigun [ja],Kenshi Hirokane,Shogakukan,64,1995–Present
Love Hina,Ken Akamatsu,Kodansha,14,1998–2001
Master Keaton,"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",Shogakukan,18,1988–1994
Monster,Naoki Urasawa,Shogakukan,18,1994–2001
Negima! Magister Negi Magi,Ken Akamatsu,Kodansha,38,2003–2012
Red River,Chie Shinohara,Shogakukan,28,1995–2002
The Rose of Versailles,Riyoko Ikeda,Shueisha,10,1972–1973
Shonen Ashibe,Hiromi Morishita,Shueisha,8,1988–1994
Peacock King,Makoto Ogino,Shueisha/Shogakukan/Leed,55,1985–2019
Sukeban Deka,Shinji Wada,Hakusensha,22,1976–1982
Swan,Kyoko Ariyoshi,Shueisha,21,1976–1981
The Tale of Genji,Waki Yamato,Kodansha,13,1980–1993
Tokyo Daigaku Monogatari,Tatsuya Egawa,Shogakukan,34,1992–2001
Tsubasa: Reservoir Chronicle,Clamp,Kodansha,28,2003–2009
Weed,Yoshihiro Takahashi,Nihon Bungeisha,60,1999–2009
